stoupání,rise [raɪz]
nutný,necessary [ˈnes.ə.ser.i]
pacient,patient [ˈpeɪ.ʃənt]
zdroje,resource [rɪˈzɔːs]
bohatý,rich [rɪtʃ]
kůže,skin [skɪn]
předpokládat,suppose [səˈpəʊz]
sladký,sweet [swiːt]
tedy,thus [ðʌs]
dotknout se,touch [tʌtʃ]
včera,yesterday [ˈjes.tə.deɪ]
chytit,catch [kætʃ]
(u)zavřený,closed [kləʊzd]
kongres,congress [ˈkɒŋ.ɡres]
poškození,damage [ˈdæm.ɪdʒ]
přímo,directly [daɪˈrekt.li]
nemoc,disease [dɪˈziːz]
doktor(ka),doctor [ˈdɒk.tər]
pochybnost,doubt [daʊt]
pití,drink [drɪŋk]
založit,establish [ɪˈstæb.lɪʃ]
ryba,fish [fɪʃ]
homosexuál,gay [ɡeɪ]
rád,glad [ɡlæd]
stroj,machine [məˈʃiːn]
oznámení,notice [ˈnəʊ.tɪs]
celkově,overall [ˌəʊ.vəˈrɔːl]
profesor,professor [prəˈfes.ər]
sedět,sit [sɪt]
výlet,trip [trɪp]
společník,associate [əˈsəʊ.si.eɪt]
základní,basic [ˈbeɪ.sɪk]
kapitán,captain [ˈkæp.tɪn]
(za)nést,carry [ˈkær.i]
zločin,crime [kraɪm]
účinný,effective [ɪˈfek.tɪv]
vysvětlit,explain [ɪkˈspleɪn]
zcela,fully [ˈfʊl.i]
vysoce,highly [ˈhaɪ.li]
Japonsko,japan [dʒəˈpæn]
samec,male [meɪl]
rostlina,plant [plɑːnt]
skutečnost,reality [riˈæl.ə.ti]
kovář,smith [smɪθ]
místo,spot [spɒt]
zima,winter [ˈwɪn.tər]
rada,advice [ədˈvaɪs]
dohoda,agreement [əˈɡriː.mənt]
cena(ocenění),award [əˈwɔːd]
blok,block [blɒk]
výzva,challenge [ˈtʃæl.ɪndʒ]
komentář,comment [ˈkɒm.ent]
vybavení,equipment [ɪˈkwɪp.mənt]
nakonec,eventually [ɪˈven.tʃu.ə.li]
svatý,holy [ˈhəʊ.li]
primární,primary [ˈpraɪ.mər.i]
účel,purpose [ˈpɜː.pəs]
odpovědný,responsible [rɪˈspɒn.sə.bəl]
nakupovat,shop [ʃɒp]
nemocný,sick [sɪk]
učitel,teacher [ˈtiː.tʃər]
teorie,theory [ˈθɪə.ri]
agentura,agency [ˈeɪ.dʒən.si]
vyhnout se,avoid [əˈvɔɪd]
fotoaparát,camera [ˈkæm.rə]
buňka,cell [sel]
pobřeží,coast [kəʊst]
lék,drug [drʌɡ]
ekonomika,economy [iˈkɒn.ə.mi]
prostředí,environment [ɪnˈvaɪ.rə.mənt]
výkonný (pověřený prováděním),executive [ɪɡˈzek.jə.tɪv]
sál,hall [hɔːl]
mše,mass [mæs]
význam,meaning [ˈmiː.nɪŋ]
mise,mission [ˈmɪʃ.ən]
devět,nine [naɪn]
rozvážný,politic [ˈpɒl.ɪ.tɪk]
vyrobit,produce [prəˈdʒuːs]
postavení,status [ˈsteɪ.təs]
proto,therefore [ˈðeə.fɔːr]
soud,trial [traɪəl]
skutečně,truly [ˈtruː.li]
počasí,weather [ˈweð.ər]
žádost,application [ˌæp.lɪˈkeɪ.ʃən]
káva,coffee [ˈkɒf.i]
složitý,complex [ˈkɒm.pleks]
divize,division [dɪˈvɪʒ.ən]
večer,evening [ˈiːv.nɪŋ]
let,flight [flaɪt]
svoboda,freedom [ˈfriː.dəm]
horko,heat [hiːt]
rozhovor,interview [ˈɪn.tə.vjuː]
knihovna,library [ˈlaɪ.brər.i]
lokalizovat,locate [ləʊˈkeɪt]
poloha,location [ləʊˈkeɪ.ʃən]
vražda,murder [ˈmɜː.dər]
královna,queen [kwiːn]
chůze,walking [ˈwɔː.kɪŋ]
přijmout,accept [əkˈsept]
aktuální,actual [ˈæk.tʃu.əl]
objevit se,appear [əˈpɪər]
pokus,attempt [əˈtempt]
kanál,channel [ˈtʃæn.əl]
vzdálenost,distance [ˈdɪs.təns]
výměna,exchange [ɪksˈtʃeɪndʒ]
tuk,fat [fæt]
severní,northern [ˈnɔː.ðən]
mocný,powerful [ˈpaʊə.fəl]
předchozí,prior [praɪər]
ochrana,protection [prəˈtek.ʃən]
náboženský,religious [rɪˈlɪdʒ.əs]
jízda,ride [raɪd]
královský,royal [ˈrɔɪ.əl]
obrazovka,screen [skriːn]
sloužit,serve [sɜːv]
pomalý,slow [sləʊ]
řeč,speech [spiːtʃ]
provoz,traffic [ˈtræf.ɪk]
strom,tree [triː]
koho,whom [huːm]
skvělý,wonderful [ˈwʌn.də.fəl]
letiště,airport [ˈeə.pɔːt]
zvíře,animal [ˈæn.ɪ.məl]
prospěch,benefit [ˈben.ɪ.fɪt]
dno,bottom [ˈbɒt.əm]
požadovat,demand [dɪˈmɑːnd]
motor,engine [ˈen.dʒɪn]
všichni,everybody [ˈev.riˌbɒd.i]
slavný,famous [ˈfeɪ.məs]
investice,investment [ɪnˈvest.mənt]
lež,lie [laɪ]
partner(ka),partner [ˈpɑːt.nər]
vztyčit,raise [reɪz]
smutný,sad [sæd]
řešení,solution [səˈluː.ʃən]
jižní,southern [ˈsʌð.ən]
náměstí,square [skweər]
struktura,structure [ˈstrʌk.tʃər]
tradiční,traditional [trəˈdɪʃ.ən.əl]
dvakrát,twice [twaɪs]
vítr,wind [wɪnd]
starosti,worry [ˈwʌr.i]
značka (obchodní),brand [brænd]
autobus,bus [bʌs]
cent,cent [sent]
počítat,count [kaʊnt]
kritické,critical [ˈkrɪt.ɪ.kəl]
digitální,digital [ˈdɪdʒ.ɪ.təl]
čtvrtý,fourth [fɔːθ]
čerstvý,fresh [freʃ]
jezero,lake [leɪk]
duševní,mental [ˈmen.təl]
zmínit (se),mention [ˈmen.ʃən]
většinou,mostly [ˈməʊst.li]
ústa,mouth [maʊθ]
majitel,owner [ˈəʊ.nər]
předtím,previously [ˈpriː.vi.əs.li]
uvědomit si,realize [ˈrɪə.laɪz]
skóre,score [skɔːr]
oddělený,separate [ˈsep.ər.ət]
chytrý,smart [smɑːt]
povrch,surface [ˈsɜː.fɪs]
hodit,throw [θrəʊ]
naprosto,totally [ˈtəʊ.təl.i]
cvrlikat,twitter [ˈtwɪt.ər]
paže,arm [ɑːm]
rozpočet,budget [ˈbʌdʒ.ɪt]
cvaknout,click [klɪk]
pozemek,estate [ɪˈsteɪt]
selhat,fail [feɪl]
víra,faith [feɪθ]
móda,fashion [ˈfæʃ.ən]
fond,fund [fʌnd]
generace,generation [ˌdʒen.əˈreɪ.ʃən]
kopec,hill [hɪl]
hever,jack [dʒæk]
kov,metal [ˈmet.əl]
profil,profile [ˈprəʊ.faɪl]
sedadlo,seat [siːt]
sexuální,sexual [ˈsek.ʃu.əl]
terč,target [ˈtɑː.ɡɪt]
obec,village [ˈvɪl.ɪdʒ]
ucházet se,apply [əˈplaɪ]
autorita,authority [ɔːˈθɒr.ə.ti]
základ,basis [ˈbeɪ.sɪs]
(na)kreslit,draw [drɔː]
zaměstnanec,employee [ɪmˈplɔɪ.iː]
vstoupit,enter [ˈen.tər]
nadace,foundation [faʊnˈdeɪ.ʃən]
získat,gain [ɡeɪn]
paměť,memory [ˈmem.ər.i]
prvořadý,prime [praɪm]
prsten,ring [rɪŋ]
stříbro,silver [ˈsɪl.vər]
duše,soul [səʊl]
rozprostřít,spread [spred]
dodávat,supply [səˈplaɪ]
plýtvat,waste [weɪst]
(po)divný,weird [wɪəd]
dospělý,adult [ˈæd.ʌlt]
předseda,chairman [ˈtʃeə.mən]
vydání,edition [ɪˈdɪʃ.ən]
inženýrství,engineering [ˌen.dʒɪˈnɪə.rɪŋ]
třídit (dle kvality ap.),grade [ɡreɪd]
zdravý,healthy [ˈhel.θi]
ústav,institute [ˈɪn.stɪ.tʃuːt]
metoda,method [ˈmeθ.əd]
mikrofon,mike [maɪk]
(zcela) zjevně,obviously [ˈɒb.vi.əs.li]
možnost,option [ˈɒp.ʃən]
vězení,prison [ˈprɪz.ən]
senát,senate [ˈsen.ət]
někdo,somebody [ˈsʌm.bə.di]
kámen,stone [stəʊn]
síla,strength [streŋθ]
uživatel,user [ˈjuː.zər]
divoký,wild [waɪld]
okno,window [ˈwɪn.dəʊ]
vítěz,winner [ˈwɪn.ər]
dorazit,arrive [əˈraɪv]
sáček,bag [bæɡ]
sázka,bet [bet]
tábor,camp [kæmp]
obsazení,cast [kɑːst]
správný,correct [kəˈrekt]
nebezpečný,dangerous [ˈdeɪn.dʒər.əs]
nesmírně,extremely [ɪkˈstriːm.li]
firma,firm [fɜːm]
klika,handle [ˈhæn.dəl]
zlepšit,improve [ɪmˈpruːv]
vskutku,indeed [ɪnˈdiːd]
negativní,negative [ˈneɡ.ə.tɪv]
zabránit,prevent [prɪˈvent]
odstranit,remove [rɪˈmuːv]
duch,spirit [ˈspɪr.ɪt]
televize,television [ˈtel.ɪ.vɪʒ.ən]
až do,till [tɪl]
potíž(e),trouble [ˈtrʌb.əl]
výhoda,advantage [ədˈvɑːn.tɪdʒ]
od sebe,apart [əˈpɑːt]
být si vědom,aware [əˈweər]
kočka,cat [kæt]
zákazník,customer [ˈkʌs.tə.mər]
večeře,dinner [ˈdɪn.ər]
dolar,dollar [ˈdɒl.ər]
východní,eastern [ˈiː.stən]
pátý,fifth [fɪfθ]
funkce,function [ˈfʌŋk.ʃən]
dar,gift [ɡɪft]
sobě(ona),herself [hɜːˈself]
nemožné,impossible [ɪmˈpɒs.ə.bəl]
vliv,influence [ˈɪn.flu.əns]
položka,item [ˈaɪ.təm]
ani,nor [nɔːr]
pokrok,progress [ˈprəʊ.ɡres]
(za)střelit,shoot [ʃuːt]
zavřený,shut [ʃʌt]
dřevo,wood [wʊd]
