stoupání,rise [raɪz]
nutný,necessary [ˈnes.ə.ser.i]
pacient,patient [ˈpeɪ.ʃənt]
zdroje,resource [ˈriː.sɔːrs]
bohatý,rich [rɪtʃ]
kůže,skin [skɪn]
předpokládat,suppose [səˈpoʊz]
sladký,sweet [swiːt]
tedy,thus [ðʌs]
dotknout se,touch [tʌtʃ]
včera,yesterday [ˈjes.tɚ.deɪ]
chytit,catch [kætʃ]
(u)zavřený,closed [kloʊzd]
kongres,congress [ˈkɑːŋ.ɡres]
poškození,damage [ˈdæm.ɪdʒ]
přímo,directly [daɪˈrekt.li]
nemoc,disease [dɪˈziːz]
doktor(ka),doctor [ˈdɑːk.tɚ]
pochybnost,doubt [daʊt]
pití,drink [drɪŋk]
založit,establish [ɪˈstæb.lɪʃ]
ryba,fish [fɪʃ]
homosexuál,gay [ɡeɪ]
rád,glad [ɡlæd]
stroj,machine [məˈʃiːn]
oznámení,notice [ˈnoʊ.t̬ɪs]
celkově,overall [ˌoʊ.vɚˈɑːl]
profesor,professor [prəˈfes.ɚ]
sedět,sit [sɪt]
výlet,trip [trɪp]
společník,associate [əˈsoʊ.ʃi.eɪt]
základní,basic [ˈbeɪ.sɪk]
kapitán,captain [ˈkæp.tən]
(za)nést,carry [ˈker.i]
zločin,crime [kraɪm]
účinný,effective [əˈfek.tɪv]
vysvětlit,explain [ɪkˈspleɪn]
zcela,fully [ˈfʊl.i]
vysoce,highly [ˈhaɪ.li]
Japonsko,japan [dʒəˈpæn]
samec,male [meɪl]
rostlina,plant [plænt]
skutečnost,reality [riˈæl.ə.t̬i]
kovář,smith [smɪθ]
místo,spot [spɑːt]
zima,winter [ˈwɪn.t̬ɚ]
rada,advice [ədˈvaɪs]
dohoda,agreement [əˈɡriː.mənt]
cena,award [əˈwɔːrd]
blok,block [blɑːk]
výzva,challenge [ˈtʃæl.ɪndʒ]
komentář,comment [ˈkɑː.ment]
vybavení,equipment [ɪˈkwɪp.mənt]
nakonec,eventually [ɪˈven.tʃu.ə.li]
svatý,holy [ˈhoʊ.li]
primární,primary [ˈpraɪ.mer.i]
účel,purpose [ˈpɝː.pəs]
odpovědný,responsible [rɪˈspɑːn.sə.bəl]
nakupovat,shop [ʃɑːp]
nemocný,sick [sɪk]
učitel,teacher [ˈtiː.tʃɚ]
teorie,theory [ˈθɪr.i]
agentura,agency [ˈeɪ.dʒən.si]
vyhnout se,avoid [əˈvɔɪd]
fotoaparát,camera [ˈkæm.rə]
buňka,cell [sel]
pobřeží,coast [koʊst]
lék,drug [drʌɡ]
ekonomika,economy [iˈkɑː.nə.mi]
prostředí,environment [ɪnˈvaɪ.rə.mənt]
výkonný,executive [ɪɡˈzek.jə.t̬ɪv]
sál,hall [hɑːl]
mše,mass [mæs]
význam,meaning [ˈmiː.nɪŋ]
mise,mission [ˈmɪʃ.ən]
devět,nine [naɪn]
rozvážný,politic [ˈpɑː.lə.tɪk]
vyrobit,produce [prəˈduːs]
postavení,status [ˈsteɪ.t̬əs]
proto,therefore [ˈðer.fɔːr]
soud,trial [traɪəl]
skutečně,truly [ˈtruː.li]
počasí,weather [ˈweð.ɚ]
žádost,application [ˌæp.ləˈkeɪ.ʃən]
káva,coffee [ˈkɑː.fi]
složitý,complex [kɑːmˈpleks]
divize,division [dɪˈvɪʒ.ən]
večer,evening [ˈiːv.nɪŋ]
let,flight [flaɪt]
svoboda,freedom [ˈfriː.dəm]
horko,heat [hiːt]
rozhovor,interview [ˈɪn.t̬ɚ.vjuː]
knihovna,library [ˈlaɪ.brer.i]
lokalizovat,locate [loʊˈkeɪt]
poloha,location [loʊˈkeɪ.ʃən]
vražda,murder [ˈmɝː.dɚ]
královna,queen [kwiːn]
chůze,walking [ˈwɑː.kɪŋ]
přijmout,accept [əkˈsept]
aktuální,actual [ˈæk.tʃu.əl]
objevit se,appear [əˈpɪr]
pokus,attempt [əˈtempt]
kanál,channel [ˈtʃæn.əl]
vzdálenost,distance [ˈdɪs.təns]
výměna,exchange [ɪksˈtʃeɪndʒ]
tuk,fat [fæt]
severní,northern [ˈnɔːr.ðɚn]
mocný,powerful [ˈpaʊ.ɚ.fəl]
předchozí,prior [praɪr]
ochrana,protection [prəˈtek.ʃən]
náboženský,religious [rɪˈlɪdʒ.əs]
jízda,ride [raɪd]
královský,royal [ˈrɔɪ.əl]
obrazovka,screen [skriːn]
sloužit,serve [sɝːv]
pomalý,slow [sloʊ]
řeč,speech [spiːtʃ]
provoz,traffic [ˈtræf.ɪk]
strom,tree [triː]
koho,whom [huːm]
skvělý,wonderful [ˈwʌn.dɚ.fəl]
letiště,airport [ˈer.pɔːrt]
zvíře,animal [ˈæn.ɪ.məl]
prospěch,benefit [ˈben.ə.fɪt]
dno,bottom [ˈbɑː.t̬əm]
požadovat,demand [dɪˈmænd]
motor,engine [ˈen.dʒɪn]
všichni,everybody [ˈev.riˌbɑː.di]
slavný,famous [ˈfeɪ.məs]
investice,investment [ɪnˈvest.mənt]
lež,lie [laɪ]
partner(ka),partner [ˈpɑːrt.nɚ]
vztyčit,raise [reɪz]
smutný,sad [sæd]
řešení,solution [səˈluː.ʃən]
jižní,southern [ˈsʌð.ɚn]
náměstí,square [skwer]
struktura,structure [ˈstrʌk.tʃɚ]
tradiční,traditional [trəˈdɪʃ.ən.əl]
dvakrát,twice [twaɪs]
vítr,wind [wɪnd]
starosti,worry [ˈwɝː.i]
značka,brand [brænd]
autobus,bus [bʌs]
cent,cent [sent]
počítat,count [kaʊnt]
kritické,critical [ˈkrɪt̬.ɪ.kəl]
digitální,digital [ˈdɪdʒ.ə.t̬əl]
čtvrtý,fourth [fɔːrθ]
čerstvý,fresh [ˈfreʃ.nəs]
jezero,lake [leɪk]
duševní,mental [ˈmen.t̬əl]
zmínit (se),mention [ˈmen.ʃən]
většinou,mostly [ˈmoʊst.li]
ústa,mouth [maʊθ]
majitel,owner [ˈoʊ.nɚ]
předtím,previously [ˈpriː.vi.əs.li]
uvědomit si,realize [ˈriː.ə.laɪz]
skóre,score [skɔːr]
oddělený,separate [ˈsep.ɚ.ət]
chytrý,smart [smɑːrt]
povrch,surface [ˈsɝː.fɪs]
hodit,throw [θroʊ]
naprosto,totally [ˈtoʊ.t̬əl.i]
cvrlikat,twitter [ˈtwɪt̬.ɚ]
paže,arm [ɑːrm]
rozpočet,budget [ˈbʌdʒ.ɪt]
cvaknout,click [klɪk]
pozemek,estate [ɪˈsteɪt]
selhat,fail [feɪl]
víra,faith [feɪθ]
móda,fashion [ˈfæʃ.ən]
fond,fund [fʌnd]
generace,generation [ˌdʒen.əˈreɪ.ʃən]
kopec,hill [hɪl]
hever,jack [dʒæk]
kov,metal [ˈmet̬.əl]
profil,profile [ˈproʊ.faɪl]
sedadlo,seat [siːt]
sexuální,sexual [ˈsek.ʃu.əl]
terč,target [ˈtɑːr.ɡɪt]
obec,village [ˈvɪl.ɪdʒ]
ucházet se,apply [əˈplaɪ]
autorita,authority [əˈθɔːr.ə.t̬i]
základ,basis [ˈbeɪ.sɪs]
(na)kreslit,draw [drɑː]
zaměstnanec,employee [ɪmˈplɔɪ.iː]
vstoupit,enter [ˈen.t̬ɚ]
nadace,foundation [faʊnˈdeɪ.ʃən]
získat,gain [ɡeɪn]
paměť,memory [ˈmem.ər.i]
prvořadý,prime [praɪm]
prsten,ring [rɪŋ]
stříbro,silver [ˈsɪl.vɚ]
duše,soul [soʊl]
rozprostřít,spread [spred]
dodávat,supply [səˈplaɪ]
plýtvat,waste [weɪst]
(po)divný,weird [wɪrd]
dospělý,adult [ˈæd.ʌlt]
předseda,chairman [ˈtʃer.mən]
vydání,edition [ɪˈdɪʃ.ən]
inženýrství,engineering [ˌen.dʒɪˈnɪr.ɪŋ]
třídit (dle kvality ap.),grade [ɡreɪd]
zdravý,healthy [ˈhel.θi]
ústav,institute [ˈɪn.stə.tuːt]
metoda,method [ˈmeθ.əd]
mikrofon,mike [maɪk]
(zcela) zjevně,obviously [ˈɑːb.vi.əs.li]
možnost,option [ˈɑːp.ʃən]
vězení,prison [ˈprɪz.ən]
senát,senate [ˈsen.ət]
někdo,somebody [ˈsʌmˌbɑː.di]
kámen,stone [stoʊn]
síla,strength [streŋθ]
uživatel,user [ˈjuː.zɚ]
divoký,wild [waɪld]
okno,window [ˈwɪn.doʊ]
vítěz,winner [ˈwɪn.ɚ]
dorazit,arrive [əˈraɪv]
sáček,bag [bæɡ]
sázka,bet [bet]
tábor,camp [kæmp]
obsazení,cast [kæst]
správný,correct [kəˈrekt]
nebezpečný,dangerous [ˈdeɪn.dʒɚ.əs]
nesmírně,extremely [ɪkˈstriːm.li]
firma,firm [fɝːm]
klika,handle [ˈhæn.dəl]
zlepšit,improve [ɪmˈpruːv]
vskutku,indeed [ɪnˈdiːd]
negativní,negative [ˈneɡ.ə.t̬ɪv]
zabránit,prevent [prɪˈvent]
odstranit,remove [rɪˈmuːv]
duch,spirit [ˈspɪr.ət]
televize,television [ˈtel.ə.vɪʒ.ən]
až do,till [tɪl]
potíž(e),trouble [ˈtrʌb.əl]
výhoda,advantage [ədˈvæn.t̬ɪdʒ]
od sebe,apart [əˈpɑːrt]
být si vědom,aware [əˈwer]
kočka,cat [kæt]
zákazník,customer [ˈkʌs.tə.mɚ]
večeře,dinner [ˈdɪn.ɚ]
dolar,dollar [ˈdɑː.lɚ]
východní,eastern [ˈiː.stɚn]
pátý,fifth [fɪfθ]
funkce,function [ˈfʌŋk.ʃən]
dar,gift [ɡɪft]
dárek,herself [hɝːˈself]
nemožné,impossible [ɪmˈpɑː.sə.bəl]
vliv,influence [ˈɪn.flu.əns]
položka,item [ˈaɪ.t̬əm]
ani,nor [nɔːr]
